Date;Active Energy (kJ);Apple Exercise Time (min);z;Apple Stand Time (min);Blood Oxygen Saturation (%);Environmental Audio Exposure (dBASPL);Headphone Audio Exposure (dBASPL);Heart Rate [Min] (bpm);Heart Rate [Max] (bpm);Heart Rate [Avg] (bpm);Heart Rate Variability (ms);Physical Effort (MET);Respiratory Rate (count/min);Resting Energy (kJ);Resting Heart Rate (bpm);Sleep Analysis [Asleep] (hr);Sleep Analysis [Core] (hr);Sleep Analysis [Deep] (hr);Sleep Analysis [REM] (hr);Sleep Analysis [Awake] (hr);Step Count (steps);Walking + Running Distance (km);Walking Heart Rate Average (bpm);Walking Speed (km/hr);Walking Step Length (cm)
25.01.2025 00:00;5309;86;14;145;98,19;60,26;61,42;52;166;95,55;63,84;3,62;15,3;9557;67;0;5,116666667;0,808333333;1,716666667;0,166666667;9255;7,22;126;4,88;73,59
26.01.2025 00:00;906,99;2;7;22;97,52;50,67;82,75;52;113;72,39;43,16;3,17;16,41;8657;59;1,516666667;4,433333333;0,683333333;1,825;0,333333333;1254;0,973;84;;
27.01.2025 00:00;4294;80;8;125;97,58;54,63;46,47;48;164;89,18;40,8;3,86;14,33;9309;64;0;3,225;0,891666667;0,966666667;0,083333333;6589;5,11;142;4,3;68,19
28.01.2025 00:00;4324;76;12;116;97,68;54,97;50,15;51;164;87,41;62,09;3,78;18,27;9370;69;5,791666667;0;0;0;0,1;5878;4,55;108;4,41;70,38
29.01.2025 00:00;3961;69;14;112;97,62;58,44;52,62;52;163;85,36;56,02;3,86;16,21;9586;67;0;4,141666667;1,008333333;1,316666667;0,058333333;7189;5,71;;4,52;68,92
30.01.2025 00:00;4097;57;14;165;98,04;57,5;49,92;47;171;83,96;50,82;3,64;15,39;9560;66;0;4,216666667;0,991666667;1,816666667;0,141666667;7943;6,21;112;4,25;68,27
31.01.2025 00:00;2035;10;13;83;97,56;55,04;53,31;49;107;70,23;64,02;3,44;15,7;9441;54;0;4,808333333;0,583333333;2,391666667;0,1;5371;4,17;;4,44;68,12
01.02.2025 00:00;796,52;3;7;21;97,53;50,36;51,36;49;92;62,08;53,97;2,73;13,84;7049;55;0;4,825;0,841666667;1,375;0,275;3070;2,19;;4,41;67,44
03.02.2025 00:00;148,87;;1;11;97,62;44,06;49,15;52;80;62,78;57,05;3,15;16,93;8134;63;;;;;;3233;2,1;80;4,13;66,82
04.02.2025 00:00;3991;72;13;104;97,85;56,55;52,69;51;158;83,73;44,95;3,47;16,79;9441;66;0;5,183333333;0,508333333;1,725;0,083333333;4972;3,88;101;4,05;65,55
